iter	Passed	Remaining
0	1	169
1	2	137
2	3	124
3	4	111
4	5	108
5	6	107
6	7	105
7	8	103
8	10	101
9	11	99
10	12	97
11	13	96
12	14	95
13	15	94
14	16	93
15	17	91
16	18	90
17	19	90
18	20	88
19	22	88
20	23	86
21	24	85
22	25	84
23	26	83
24	27	81
25	28	81
26	29	79
27	30	78
28	31	77
29	32	76
30	33	74
31	34	73
32	36	73
33	37	72
34	38	71
35	39	70
36	40	69
37	41	68
38	42	66
39	43	65
40	44	64
41	45	62
42	46	61
43	47	60
44	48	59
45	49	58
46	50	57
47	51	56
48	52	55
49	53	53
50	54	52
51	56	51
52	57	50
53	58	49
54	58	48
55	59	47
56	61	46
57	62	44
58	63	44
59	64	42
60	65	41
61	66	40
62	67	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	34
68	73	33
69	74	32
70	75	30
71	77	29
72	78	28
73	79	27
74	80	26
75	81	25
76	82	24
77	83	23
78	84	22
79	85	21
80	86	20
81	87	19
82	88	18
83	89	17
84	90	16
85	91	14
86	92	13
87	94	12
88	95	11
89	96	10
90	97	9
91	98	8
92	99	7
93	100	6
94	101	5
95	102	4
96	103	3
97	104	2
98	105	1
99	106	0
